software	model	objective	gene	status	value
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00075	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00080	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00085	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00110	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00145	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00190	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00210	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00215	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00235	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00270	optimal	0.09082
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00275	optimal	0.09082
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00285	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00365	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00380	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00390	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00400	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00410	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00415	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00440	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00485	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00490	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00520	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00525	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00535	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00550	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00570	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00585	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00590	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00730	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00750	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00760	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00780	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00785	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00830	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00905	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00925	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00935	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS00940	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01010	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01035	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01040	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01045	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01050	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01055	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01060	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01065	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01070	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01075	infeasible	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01080	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01085	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01100	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01105	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01110	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01155	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01465	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01470	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01500	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01575	optimal	0.091068
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01710	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01715	optimal	0.088737
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01720	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01725	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01730	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01760	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01765	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01770	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01775	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01780	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01830	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01880	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01895	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01900	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01905	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01910	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01940	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS01985	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02015	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02080	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02100	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02105	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02315	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02320	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02330	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02345	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02350	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02365	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02370	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02480	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02565	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02645	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02665	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02755	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02795	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02800	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02805	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02810	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02990	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS02995	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03020	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03030	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03035	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03040	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03045	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03065	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03100	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03105	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03110	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03125	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03145	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03155	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03160	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03185	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03190	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03200	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03205	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03210	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03215	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03220	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03225	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03245	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03255	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03280	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03285	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03325	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03360	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03365	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03370	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03375	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03380	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03385	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03390	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03400	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03410	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03415	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03420	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03435	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03450	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03455	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03460	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03520	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03525	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03530	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03535	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03540	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03545	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03550	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03555	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03560	infeasible	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03570	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03575	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03580	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03590	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03595	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03600	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03615	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03620	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03625	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03630	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03635	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03650	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03655	optimal	0.091091
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03660	optimal	0.091025
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03760	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03805	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03835	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03840	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03985	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03990	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS03995	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04030	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04035	optimal	0.090964
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04040	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04065	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04080	optimal	0.091101
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04105	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04145	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04180	optimal	0.0
cbmpy	Canto-Encalada2022-FBA+of+simultaneous+degradation+of+ammonia+and+pollutants.xml	obj	G_ALW85_RS04225	optimal	0.070051
